Solution time (hh:mm:ss),Electrode width (um),Electrode separation (um),Shield separation (um),Electrode capacitance (fF),Shield capacitance (fF),Mutual capacitance (fF),Charges within box 0 (fC),Charges within box 1 (fC),Charges within box 2 (fC),Charges within box 3 (fC),Charges within box 4 (fC),Charges within box 5 (fC),Charges within box 6 (fC),Charges within box 7 (fC),Charges within box 8 (fC),Charges within box 9 (fC),Charges within box 10 (fC),Charges within box 11 (fC),Charges within box 12 (fC),Charges within box 13 (fC),Charges within box 14 (fC),Charges within box 15 (fC),Charges within box 16 (fC),Charges within box 17 (fC),Charges within box 18 (fC),Charges within box 19 (fC),Charges within box 20 (fC),Charges within box 21 (fC),Charges within box 22 (fC),Charges within box 23 (fC),Charges within box 24 (fC),Charges within box 25 (fC),Charges within box 26 (fC),Charges within box 27 (fC),Charges within box 28 (fC),Charges within box 29 (fC),Charges within box 30 (fC),Charges within box 31 (fC),Charges within box 32 (fC),Charges within box 33 (fC),Charges within box 34 (fC),Charges within box 35 (fC),Charges within box 36 (fC),Charges within box 37 (fC),Charges within box 38 (fC),Charges within box 39 (fC),Charges within box 40 (fC),Charges within box 41 (fC),Charges within box 42 (fC),Charges within box 43 (fC),Charges within box 44 (fC),Charges within box 45 (fC),Charges within box 46 (fC),Charges within box 47 (fC),Charges within box 48 (fC),Charges within box 49 (fC),Charges within box 50 (fC),Charges within box 51 (fC),Charges within box 52 (fC),Charges within box 53 (fC),Charges within box 54 (fC),Charges within box 55 (fC),Charges within box 56 (fC),Charges within box 57 (fC),Charges within box 58 (fC),Charges within box 59 (fC),Charges within box 60 (fC),Charges within box 61 (fC),Charges within box 62 (fC),Charges within box 63 (fC),Charges within box 64 (fC),Charges within box 65 (fC),Charges within box 66 (fC),Charges within box 67 (fC),Charges within box 68 (fC),Charges within box 69 (fC),Charges within box 70 (fC),Charges within box 71 (fC),Charges within box 72 (fC),Charges within box 73 (fC),Charges within box 74 (fC),Charges within box 75 (fC),Charges within box 76 (fC),Charges within box 77 (fC),Charges within box 78 (fC),Charges within box 79 (fC),Charges within box 80 (fC),Charges within box 81 (fC),Charges within box 82 (fC),Charges within box 83 (fC),Charges within box 84 (fC),Charges within box 85 (fC),Charges within box 86 (fC),Charges within box 87 (fC),Charges within box 88 (fC),Charges within box 89 (fC),Charges within box 90 (fC),Charges within box 91 (fC),Charges within box 92 (fC),Charges within box 93 (fC),Charges within box 94 (fC),Charges within box 95 (fC),Charges within box 96 (fC),Charges within box 97 (fC),Charges within box 98 (fC),Charges within box 99 (fC),Charges within box 100 (fC),Charges within box 101 (fC),Charges within box 102 (fC),Charges within box 103 (fC),Charges within box 104 (fC),Charges within box 105 (fC),Charges within box 106 (fC),Charges within box 107 (fC),Charges within box 108 (fC),Charges within box 109 (fC),Charges within box 110 (fC),Charges within box 111 (fC),Charges within box 112 (fC),Charges within box 113 (fC),Charges within box 114 (fC),Charges within box 115 (fC),Charges within box 116 (fC),Charges within box 117 (fC),Charges within box 118 (fC),Charges within box 119 (fC)
00:00:49,50,10,10,3.72460345485495,39.1024443948448,0.726575928399248,0.0884646013177994,0.0883335350203697,0.0876885681217734,0.084836051210485,0.074923738804864,0.0549184744295799,0.0342022530913258,0.0202297243547842,0.0115646031463781,0.00572600624608105,0.00206577308932234,0.000538510462446205,0.000123731029440983,3.1789204544419e-05,1.25862066102933e-05,0.0882008398307834,0.0875505422032402,0.0846773831256322,0.0746976533855257,0.0545803730648498,0.0338135165474662,0.0198946320530886,0.0113331971843786,0.00560179888020835,0.00201950640328266,0.000526317625121639,0.00012101740389834,3.12166082395468e-05,1.24655544243032e-05,0.0868868046632316,0.0839748079396326,0.0738750575745881,0.0535801417094687,0.0328156422405465,0.0191141817922412,0.0108272967009184,0.00533990063655,0.00192374338886804,0.000501370680691651,0.000115514294603786,3.00646807924321e-05,1.22313262644966e-05,0.0810219042095445,0.0709181445394105,0.0508109157342162,0.0306355654692955,0.017668676717888,0.00997914966152709,0.00492338615946636,0.00177537532021308,0.000463301298072229,0.000107212713991054,2.83429016766419e-05,1.18830295817276e-05,0.0616099808113277,0.0438198560372468,0.0264094520773743,0.0153497091471129,0.0087555807840619,0.00435305745773904,0.00157710942007854,0.000413112870343913,9.63728489119305e-05,2.61107548980074e-05,1.14336186154516e-05,0.0318836609905178,0.0202100330506347,0.0123082010922753,0.00724428316271906,0.00366790444593688,0.00134174283293956,0.000353867411630404,8.36188422370922e-05,2.34904368976403e-05,1.090770607737e-05,0.0139720348313128,0.00916059937096222,0.00565124516254717,0.00293756347497036,0.00108910589123051,0.000289921204838704,6.97872021257237e-05,2.06396718289959e-05,1.03357163472593e-05,0.00642518203865885,0.00415443716409391,0.00222062630753465,0.000835316121127511,0.000224801938120726,5.55852932646438e-05,1.77028295523182e-05,9.74766308577156e-06,0.00278749691350837,0.00152763623032855,0.000583615461265772,0.000159838165515747,4.14824230551643e-05,1.48104341093971e-05,9.1740763973108e-06,0.00085700301567225,0.000337606577436054,9.76284437718692e-05,2.83273191448452e-05,1.21659174097017e-05,8.65862601589569e-06,0.000144199495456667,4.86671456299057e-05,1.79733347677476e-05,1.00817405922174e-05,8.25735958539587e-06,2.19535360420297e-05,1.18035128046541e-05,8.76583442747121e-06,7.99989924451953e-06,9.06858729123903e-06,8.1211082256389e-06,7.87359813155213e-06,7.88135078377403e-06,7.83762964518623e-06,7.86026193603604e-06
00:00:58,50,10.5,10.5,3.59101690822733,37.7084010993164,0.746444432656188,0.0842174081600183,0.0840603936920743,0.0833415844194328,0.0804092852957939,0.0709597543625973,0.052617459009536,0.0334283652339645,0.0200548167499743,0.0115546021240085,0.00579543036851088,0.00217591137535774,0.00060702704947256,0.000148914844891808,3.89525424427994e-05,1.41279261121398e-05,0.0839017328958323,0.0831772827076459,0.0802243592417064,0.0707117139695447,0.0522698724049591,0.0330393085762323,0.0197209889390907,0.0113234614218514,0.00566978563294961,0.0021271399794734,0.000593233588606434,0.000145596684868728,3.81961071237163e-05,1.39587390524655e-05,0.0824390409279946,0.0794494913469758,0.0698328603681622,0.0512494808331198,0.0320439325643543,0.0189446605375603,0.0108184508867412,0.00540491739646409,0.00202624693919034,0.00056504052650214,0.000138873648949145,3.66756133068654e-05,1.36252493142702e-05,0.0764299967456328,0.0668441191882779,0.0485006036698446,0.029894149730814,0.0175128407184475,0.00997279506430145,0.0049838214526782,0.00187001229088095,0.000522054534955258,0.000128740771608473,3.44039819843288e-05,1.3127502888642e-05,0.0580502723341549,0.0418552449837913,0.0258034589463974,0.0152297703952249,0.00875449042659293,0.00440729082542771,0.00166125907705435,0.000465395340564168,0.000115513145036641,3.14600520347668e-05,1.24842956942789e-05,0.0308037975923226,0.0198705582862597,0.0122441563179734,0.0072496403753301,0.00371411909554553,0.00141322333412611,0.000398460130437228,9.99380386038042e-05,2.80022062429795e-05,1.17299462717042e-05,0.0138593927241493,0.00914245298532215,0.00565918874142695,0.00297356714848092,0.00114641453397254,0.00032607510455168,8.3022821475843e-05,2.42352030231326e-05,1.09074253201127e-05,0.0064248049087358,0.00415881065880048,0.00224476323491394,0.000877865551366409,0.000252265595756682,6.56470487193592e-05,2.03556282749124e-05,1.00628733037217e-05,0.00278907324394848,0.00154220028036864,0.000612488252479396,0.00017894023258804,4.84641254575104e-05,1.65483648915071e-05,9.24071252521588e-06,0.000872353102395746,0.000356838452994956,0.00010950600811399,3.25597459066227e-05,1.30847044344108e-05,8.50236677843809e-06,0.000157022819282905,5.50485897201192e-05,2.00572924683902e-05,1.03514145543201e-05,7.92054270374295e-06,2.46288243380624e-05,1.24789626848281e-05,8.59804333796252e-06,7.53665317200372e-06,8.98856013427277e-06,7.70619073363088e-06,7.33413357410602e-06,7.34892041067061e-06,7.26041841448149e-06,7.26947610957545e-06
00:01:25,50,11,11,3.46822192001668,36.4360255100306,0.765980099625558,0.0803474260576538,0.0801634586181711,0.0793733779339696,0.0763791089534062,0.0673659524373822,0.0504803803948681,0.0326590846120645,0.019861435719314,0.0115359956136234,0.00586175255952929,0.00228340849770148,0.000677468233641501,0.000176823315295779,4.76259508015378e-05,1.63503708872972e-05,0.0799776058078555,0.0791816846467961,0.0761670562554987,0.0670959142965752,0.050122903741772,0.0322693067312513,0.0195286951944236,0.0113051166346913,0.00573467555717217,0.00223217753706196,0.000662031841002399,0.000172835799233348,4.66466164953005e-05,1.60896436946168e-05,0.0783720765912694,0.075323956117385,0.0661647371571326,0.0490836564101034,0.0312762971531475,0.0187565316056312,0.0108010369019425,0.0054668904423873,0.00212626733148098,0.000630499228403894,0.000164765914576943,4.46877315545711e-05,1.56232833351188e-05,0.0722573448566029,0.0631600159699386,0.0463606748580034,0.0291577767326338,0.0173392690644703,0.00995830971609905,0.00504145930895815,0.00196237670693691,0.000582472759422504,0.000152616359065378,4.1765555320982e-05,1.49330388242538e-05,0.0548453770695912,0.0400394431649996,0.0251996894447855,0.0150938259508378,0.00874634059888797,0.00445922259516432,0.00174347059182118,0.000519193298829729,0.000136763200662202,3.79802817078455e-05,1.40443500919744e-05,0.0297778636445411,0.0195216284942384,0.0121665719478221,0.00724962265036763,0.0037587065888307,0.00148317361470578,0.000444391934108378,0.000118087163137702,3.35319816430352e-05,1.30018626114248e-05,0.0137319710096847,0.00911439220492273,0.0056638203905744,0.00300876715342517,0.00120263874505013,0.000363362506996642,9.77757085211598e-05,2.86823194684393e-05,1.18646334598061e-05,0.0064190891793262,0.00416207789623546,0.00226906626063449,0.000919801531947021,0.000280660548499308,7.69101832374334e-05,2.36888380221652e-05,1.06944810261731e-05,0.00279170461601817,0.00155790697274841,0.000641323500495754,0.000198820330790411,5.63519165151234e-05,1.88040761277725e-05,9.55824933020433e-06,0.000888861724599193,0.000376477443422806,0.000122087685254314,3.74528852891892e-05,1.43792812332724e-05,8.53975349541302e-06,0.000170401517393325,6.20546054723476e-05,2.26039425760742e-05,1.08833178411152e-05,7.73192944028109e-06,2.77829532847064e-05,1.34594310260799e-05,8.60909934930921e-06,7.18953851367193e-06,9.1002257940188e-06,7.41586206067069e-06,6.89051875914831e-06,6.91012352102109e-06,6.76456728320255e-06,6.75545965995414e-06
00:01:22,50,11.5,11.5,3.35488626244299,35.2697772002826,0.785182485431662,0.0768043441913516,0.0765925805695321,0.0757347114997395,0.0726943654276028,0.0640924276634938,0.0484901714501832,0.031897985656655,0.0196521759109188,0.0115093599189093,0.00592467346535509,0.00238805830305,0.000749387784256247,0.000207316202055797,5.7850105108209e-05,1.92269268646178e-05,0.0763789998352993,0.0755150869818053,0.0724552642053867,0.0638004735219559,0.0481226876693548,0.0315071811373377,0.0193204908003721,0.0112786834899386,0.00579618349486674,0.00233441565393233,0.00073226899465951,0.000202600144984407,5.66200412936235e-05,1.89079709652142e-05,0.0746379282990757,0.0715483050330991,0.0628214850911831,0.0470662485755089,0.030516579355199,0.0185525669054812,0.0107756332826092,0.0055255668700813,0.00222360887165104,0.000697332339214642,0.00019306485158295,5.41535549343682e-05,1.82862399541892e-05,0.0684518138497485,0.05981436274354,0.0443740217760553,0.028430153954766,0.0171506123177624,0.00993629613808031,0.00509604448606986,0.00205229634083663,0.000644170546930545,0.000178723668968153,5.04766059902433e-05,1.73624362927489e-05,0.0519458395431541,0.038356667384429,0.0246015370425431,0.0149441594442393,0.00873165974599835,0.00450858235101409,0.0018235840206059,0.00057417585137892,0.00016002101301535,4.57155383400964e-05,1.61698521987202e-05,0.0288027610075061,0.0191664341584405,0.0120770892522974,0.00724458210654549,0.00380145952516499,0.00155146929314324,0.000491380335222284,0.000137978698367891,4.0118848136647e-05,1.47697771250446e-05,0.0135920182923049,0.00907743804814697,0.00566530414911525,0.00304299828490611,0.00125769538312914,0.000401567202457039,0.000113982565710527,3.40131227836072e-05,1.32407092233686e-05,0.00640850260775862,0.00416435048081082,0.00229336342713972,0.000961099671852947,0.000309834990402313,8.93307551194801e-05,2.77294111487924e-05,1.16691572705494e-05,0.00279526815754246,0.00157459293019124,0.00067010646970009,0.000219392489642805,6.51249455459659e-05,2.15999034334225e-05,1.01456926335543e-05,0.000906371704748734,0.000396497579026672,0.000135328894964456,4.30019421182528e-05,1.60680177895406e-05,8.78321578203408e-06,0.000184305173829638,6.96664435127973e-05,2.56201577380857e-05,1.16908938054196e-05,7.69837710094269e-06,3.14176653133571e-05,1.47561153451673e-05,8.80751745829882e-06,6.95896883803423e-06,9.4124021284345e-06,7.25317092980992e-06,6.53634295404591e-06,6.56474648496787e-06,6.34568287696898e-06,6.31254386207778e-06
00:01:35,50,12,12,3.24989568825053,34.1966531422135,0.804051645236817,0.0735464671475801,0.0733066077227557,0.072384737433624,0.0693125873415966,0.0610977647364447,0.0466320717003317,0.0311477662141128,0.0194296129231645,0.0114752148383156,0.00598396714637519,0.00248967534820106,0.000822369946344251,0.000240229719873513,6.96722190270087e-05,2.29023805380537e-05,0.0730647823256611,0.0721369418803012,0.069046457824985,0.0607843185425493,0.0462545519041107,0.0307556553733107,0.0190988377144195,0.0112447213064436,0.00585407407900012,0.00243368395749886,0.000803540149147516,0.000234728731701211,6.81512350194604e-05,2.24885255123224e-05,0.07119670717633,0.0680807104380382,0.0597620199150869,0.0451827940561772,0.0297676918055049,0.0183353144254666,0.010742805872316,0.00558073715611033,0.00231810632453939,0.00076514851068982,0.000223614743962979,6.51029216329687e-05,2.16731814177221e-05,0.0649693798913737,0.0567642203056415,0.0425255618500109,0.0277142106113364,0.0169493467988624,0.00990726729809224,0.00514739256304166,0.00213961360031169,0.000706797647627659,0.000206921189624511,6.05638788316758e-05,2.04628985345743e-05,0.0493110326018863,0.0367930369127017,0.0240114471922147,0.0147829275176988,0.00871087832164379,0.00455521560884746,0.00190146991540873,0.000630019126345147,0.000185162005140954,5.46903508985849e-05,1.89024120536686e-05,0.0278755213747381,0.0188075761807676,0.0119773428293112,0.0072348111728457,0.00384221619341196,0.00161800661036424,0.000539166690045065,0.000159512412247712,4.7785252058684e-05,1.70710477971758e-05,0.0134416100355825,0.00903257204896613,0.00566384804597716,0.00307611667345838,0.00131150944352996,0.000440490624284339,0.000131564737967731,4.0248740780673e-05,1.507180645001e-05,0.00639353744168655,0.00416564762986744,0.00231754070934368,0.00100171855791042,0.000339650833123161,0.000102855692499349,3.24963614296643e-05,1.30162990479088e-05,0.00279964210755291,0.00159210731931952,0.00069881931422413,0.000240576730129742,7.47543672604262e-05,2.49534730177498e-05,1.10276438294044e-05,0.000924746302070838,0.000416863623045228,0.000149186108413166,4.91990771058287e-05,1.81660701733009e-05,9.24944894422939e-06,0.000198706207838764,7.78645581609586e-05,2.9110132957886e-05,1.27868803392887e-05,7.82907527843793e-06,3.55318628781725e-05,1.63784512956686e-05,9.20206264557634e-06,6.84834565879167e-06,9.93389980954741e-06,7.22314890929685e-06,6.27523556078764e-06,6.31343900907892e-06,6.00203147646303e-06,5.93858588835263e-06
00:01:48,50,12.5,12.5,3.15230968076321,33.2057128572275,0.822589191559442,0.0705384968867394,0.070270614852196,0.0692890497920334,0.0661976548917781,0.0583472454334233,0.0448931794473371,0.0304104809969283,0.0191959229772294,0.0114341118119279,0.00603940818647023,0.00258812169471736,0.000896029509801321,0.000275379332327165,8.3100294710019e-05,2.74077624018584e-05,0.0700006120433067,0.0690134025107073,0.0659051431146693,0.0580129902606927,0.0445057397205723,0.0300169158602706,0.0188660152220996,0.01120383616773,0.00590813541156296,0.00252982506517191,0.000875464560731108,0.000269040614729823,8.12517135938443e-05,2.68805209410176e-05,0.0680148546401981,0.0648857734083407,0.0569520916529319,0.0434209080953588,0.0290319082675621,0.0181070367017231,0.0107031333503624,0.00563219867430493,0.00240962270744439,0.000833591016489013,0.000256247509603325,7.75499015196272e-05,2.58426392830652e-05,0.0617726985121723,0.0539735297628704,0.040802100921903,0.0270121045027875,0.0167376544911697,0.00987181130542421,0.00519533306906273,0.00222421058629623,0.000770022137115537,0.000237050903405707,7.20406336237899e-05,2.42858509222739e-05,0.0469068026436244,0.0353366838654055,0.0234314623023951,0.0146120530006684,0.00868447005499404,0.00459895582612544,0.00197700927350867,0.000686436361301005,0.000212050340899209,6.49171506879155e-05,2.22863246240806e-05,0.0269933061778219,0.0184472885346945,0.0118687321140596,0.0072206810324535,0.00388082676437739,0.00168269248425389,0.000587506928911724,0.000182572847385925,5.65427979873599e-05,1.99424670669926e-05,0.013282445980189,0.00898069250936566,0.00565962137886306,0.0031079889477737,0.00136402419667817,0.000479942346168365,0.000150433337115137,4.7400567391104e-05,1.73839541845364e-05,0.00637462646861374,0.00416604074718042,0.00234147505264347,0.00104163399689849,0.000369981264461018,0.000117425630581523,3.80015923302793e-05,1.47559025549427e-05,0.00280472805357517,0.0016102935892392,0.000727437801205401,0.000262295957011744,8.52073372961764e-05,2.8877002252095e-05,1.221713850998e-05,0.000943861374606787,0.000437547549537174,0.000163617428256867,5.60312981825374e-05,2.06865506212896e-05,9.94917605476832e-06,0.000213573570715725,8.66270821040942e-05,3.30753879356228e-05,1.41835137743928e-05,8.13222333945241e-06,4.01227033960315e-05,1.83352376874718e-05,9.8028123421837e-06,6.86476278087873e-06,1.06737950734877e-05,7.33152359224122e-06,6.10723038623019e-06,6.15791847702049e-06,5.73222441975281e-06,5.63007082277894e-06
00:02:15,50,13,13,3.06132908325016,32.2877341219401,0.840797013288319,0.0677509090632966,0.067455333483859,0.06641870792237,0.0633192759287048,0.0558116612570171,0.0432620781753522,0.0296876309167667,0.0189530682736164,0.0113865114287719,0.00609087613851427,0.00268326431107685,0.000970008159473768,0.000312569078552828,9.81288779648131e-05,3.27947297977562e-05,0.0671577176786441,0.0661156903262271,0.0630010369428338,0.0554576101395961,0.0428651885721979,0.0292926523851472,0.0186240332554613,0.0111564294016627,0.00595827686556088,0.0026227297299043,0.000947703789669954,0.000305343011584105,9.59151789854809e-05,3.2136229749196e-05,0.0650639454543973,0.0619334409702517,0.0543627059616244,0.0417692547523389,0.0283111030393425,0.0178697587995137,0.0106570794399023,0.00567987072487191,0.00249804985923538,0.000902329429795334,0.000290776736067867,9.14840623616673e-05,3.08184314163558e-05,0.0588298519012266,0.0514115211875814,0.0391919995092159,0.0263255208676919,0.0165174931133262,0.00983036367006706,0.0052397784880632,0.00230597396433777,0.000833541224651548,0.000268946275371638,8.49003239294924e-05,2.88692123599911e-05,0.0447047579020927,0.0339770147031207,0.022863130896262,0.0144332313303241,0.00865283290922822,0.00463975712188361,0.00205012396244552,0.000743159705749989,0.000240535376639431,7.63928231320401e-05,2.63613682394441e-05,0.0261534088009977,0.0180874211411812,0.0117525745881273,0.0072024462720269,0.00391722220728983,0.00174545271015105,0.000636179196094089,0.000207036957984709,6.63913256409343e-05,2.34196789598775e-05,0.0131161668996492,0.0089226258107281,0.00565275759608143,0.00313853807098336,0.00141518871195968,0.000519752917751428,0.000170494622287685,5.54715026306575e-05,2.02092893478994e-05,0.00635219223806283,0.00416553484245855,0.00236508627814638,0.00108081109953176,0.000400710591563817,0.000132975160931615,4.4251413407669e-05,1.69149818741459e-05,0.00281038148439877,0.00162902945307101,0.000755937005252589,0.000284480013354394,9.64448789068385e-05,3.33802346526234e-05,1.37378191691117e-05,0.000963599349477402,0.000458510004030293,0.000178579982359439,6.34829821750881e-05,2.36409550804756e-05,1.09007350022229e-05,0.000228879270604307,9.59332967868465e-05,3.75155835977539e-05,1.58921157820579e-05,8.618671269586e-06,4.51856227598832e-05,2.06334246391078e-05,1.06189053432364e-05,7.01216001398349e-06,1.16413234859316e-05,7.58498662221967e-06,6.03553387111581e-06,6.10196105236202e-06,5.53719196251922e-06,5.3842584307902e-06
00:03:57,50,13.5,13.5,2.97626888135369,31.4347549177535,0.858678573524104,0.0651585694998324,0.0648358773002576,0.0637489476840924,0.0606511821502751,0.0534662894634866,0.0417289312170527,0.0289804237758361,0.0187028410039254,0.011332913324211,0.00613826023302971,0.0027750020682532,0.00104399480983161,0.000351586394894883,0.000114729054873152,3.9090459628922e-05,0.064511364326908,0.0634194931904997,0.0603083735332124,0.0530934190233244,0.0413230778520255,0.0285840133695726,0.0183746505217456,0.01110303280279,0.00600437572813746,0.00271228797297406,0.00101994552166893,0.000343432065458073,0.000112111947332736,3.82642351480306e-05,0.0623196025885924,0.0591977764812484,0.0519691119141551,0.0402182456966784,0.0276064184660815,0.0176252823369061,0.0106051688240208,0.00572364728222476,0.00258328783001734,0.00097107626184107,0.000327010015876291,0.000106882913462387,3.6641719236302e-05,0.0561134263695949,0.0490523378062505,0.0376850387134482,0.0256556954740853,0.0162906347562957,0.00978344531013521,0.00528065291687405,0.00238483254630549,0.000897086920462476,0.000302429167876418,9.9121258847054e-05,3.42410659763551e-05,0.0426807599768131,0.0327050325139,0.0223075299170883,0.0142480244343454,0.00861638769695323,0.00467750381050914,0.00212073612159938,0.00079995813015057,0.000270463705438668,8.90983453933966e-05,3.11519688895982e-05,0.0253532541051556,0.01772943689651,0.0116300412662689,0.00718039203692404,0.00395130420911327,0.00180623173622146,0.000684983747106018,0.000232776728119752,7.73175343353551e-05,2.75263998554989e-05,0.0129442366417411,0.00885910057101204,0.00564345890857182,0.00316767520723293,0.00146495887660824,0.000559771467489912,0.000191648950636947,6.44535778711913e-05,2.35697401936578e-05,0.00632656881306595,0.00416417577904165,0.00238826238299952,0.001119229431579,0.000431734430615622,0.00014943572587268,5.1243576328445e-05,1.95115994037436e-05,0.00281649067283678,0.00164818518165313,0.000784292087535687,0.000307062735208483,0.000108427294492694,3.84657447086547e-05,1.56009090852033e-05,0.000983856259532561,0.00047972145949492,0.000194034454404768,7.15369947092464e-05,2.70363000672027e-05,1.21113942978333e-05,0.000244592076924118,0.000105758686209435,4.24272774663243e-05,1.79227257111529e-05,9.29951711299172e-06,5.07142823091875e-05,2.32795108464113e-05,1.16609683686712e-05,7.30169679795305e-06,1.2845559220418e-05,7.99168898989729e-06,6.06601181770738e-06,6.15009238704224e-06,5.41825768815716e-06,5.2026259090078e-06
00:00:44,50,14,14,2.89653458758685,30.6399665897322,0.876241692219203,0.0627399852970608,0.0623911368064853,0.0612586648799789,0.058171036354741,0.0512900307498424,0.0402850438207383,0.0282896566757569,0.0184467903113027,0.0112737401774768,0.00618150757791858,0.00286327307482999,0.001117696164438,0.000392236191927754,0.000132870482691275,4.63381965514765e-05,0.0620405857247889,0.0609037530821506,0.0578049271428599,0.0508995142866539,0.0398707213620271,0.0278919920081512,0.0181194592946689,0.0110440948415413,0.00604639675229841,0.00279845847489471,0.00109190485932568,0.000383114691702626,0.0001298167131778,4.53338075692814e-05,0.0597609884665658,0.0566565943397326,0.0497501958510268,0.0387593089440661,0.0269189183850953,0.0173752287299609,0.0105478532194282,0.00576350799158837,0.00266528859681408,0.00103955832056882,0.000364766407515795,0.000123720473811569,4.33656798553154e-05,0.0535995130901151,0.0468734498309657,0.0362719714220055,0.0250034437425778,0.0160585917888894,0.0097314819047167,0.00531794073927018,0.00246073560784964,0.000960415294036301,0.000337334208641859,0.000114680688413162,4.04476852668351e-05,0.040814238661368,0.0315125817378913,0.0217654507494527,0.0140577570873889,0.00857554562655049,0.00471218142856925,0.00218880616042638,0.000856612236417307,0.000301689054881551,0.000103014404418112,3.66895590025037e-05,0.0245904281977134,0.0173747329005204,0.0115022075109444,0.00715480883831737,0.00398305841471915,0.00186499080485166,0.000733744815694317,0.000259671045538591,8.93070136959754e-05,3.2287957846254e-05,0.012767933394576,0.00879086571663953,0.00563185049297448,0.00319534295847707,0.00151331448477143,0.00059986308820802,0.000213806367333948,7.43409335420741e-05,2.74898298373713e-05,0.00629812348004318,0.00416196404486218,0.00241096177235417,0.00115687712404335,0.000462960528012196,0.000166745860958634,5.89801589561533e-05,2.2571734492479e-05,0.00282297209817719,0.00166765385078162,0.000812483377367006,0.000329989088198543,0.000121121879394758,4.41437032279314e-05,1.783523286769e-05,0.0010045435105573,0.000501152793939593,0.000209949383678781,8.0180601239875e-05,3.08879806759431e-05,1.36088194099153e-05,0.000260690595051001,0.000116089274972091,4.78153616349797e-05,2.02927833220412e-05,1.01928165006002e-05,5.67094397787942e-05,2.62866820223781e-05,1.29462956568389e-05,7.745452335921e-06,1.43037775366345e-05,8.56772029070324e-06,6.21013167264738e-06,6.31658856978139e-06,5.38709481917138e-06,5.09238762616843e-06
00:00:44,50,14.5,14.5,2.82162442469964,29.8975663572553,0.893482072771503,0.0604766607343362,0.0601028550266481,0.0589296448991434,0.0558594184135511,0.0492647508743299,0.0389225803512966,0.0276157873309118,0.0181862907689597,0.0112094121013709,0.00622059305238071,0.00294798645008167,0.0011908341819094,0.000434287230718454,0.000152478963955489,5.4538861932543e-05,0.0597275544016004,0.0585507486465613,0.0554713755801675,0.0488579310069277,0.0385005784827266,0.0272170515657033,0.0178599030887245,0.0109800304493227,0.00608432642607251,0.00288114087416237,0.00116331442800354,0.000424165456429828,0.000148955231581771,5.33393117749927e-05,0.0573699912556675,0.0542905026855235,0.0476877655107963,0.0373845785683044,0.0262491432109519,0.0171210058059268,0.0104855693776995,0.00579943388852819,0.00274397521773594,0.00110752462279846,0.00040382792438273,0.000141924944731926,5.09743186291328e-05,0.0512674679899494,0.0448555977596289,0.034944772501051,0.0243691839511914,0.0158227408866096,0.00967487207737327,0.00535162279262021,0.0025336090874493,0.00102328711244791,0.000373460901409609,0.000131511779493202,4.74758426067249e-05,0.0390877616947273,0.0303925274526849,0.0212374662373958,0.0138636344817578,0.00853063198084054,0.00474378097214304,0.00225426857038499,0.000912912107778825,0.000334035495450354,0.000118084724472641,4.29794371593026e-05,0.0238627590574642,0.017024166280658,0.0113700184276859,0.0071259584211357,0.00401242498276426,0.00192167855520463,0.000782288301855668,0.00028757086241659,0.000102312472610587,3.77118095690209e-05,0.012588315213934,0.00871850737249576,0.00561803664644611,0.00322151526825357,0.00156020380970471,0.000639883374559951,0.000236844507368895,8.50936814385156e-05,3.19715373896408e-05,0.00626711467891963,0.00415891385744107,0.00243308413040127,0.00119370833813899,0.000494281554708363,0.000184816679043229,6.74305299876353e-05,2.60922221926518e-05,0.00282968704619925,0.00168732091678428,0.000840464927972126,0.000353182996174064,0.000134464810044443,5.03916450979727e-05,2.04347768792827e-05,0.00102555534723181,0.000522748300601896,0.000226267066555361,8.93743758858568e-05,3.51804905774006e-05,1.53858442128989e-05,0.00027712490084473,0.000126882712961654,5.36542820318557e-05,2.29920274163403e-05,1.12930677552554e-05,6.31438212658096e-05,2.96401908996654e-05,1.44664810483328e-05,8.33800202399755e-06,1.60060938251011e-05,9.30401463547355e-06,6.45900683579215e-06,6.58987998030844e-06,5.43063870026258e-06,5.04071911491392e-06
